dataset,algorithm,train_acc_mean,train_reject_mean,train_grader_kappa_mean,test_acc_mean,test_reject_mean,test_grader_kappa_mean
sepsis,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.96711367,0.49835510,0.08191523,0.96624071,0.49833693,0.07994566
raisin,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.95243955,0.29711111,0.22150268,0.91016637,0.30200000,0.18934665
matern,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.90264779,0.23973687,0.20562853,0.86042437,0.24351000,0.20468208
survey,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.90503091,0.34307338,0.16464927,0.88466037,0.34211686,0.12833173
aids,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.96037919,0.28139940,0.18554365,0.93904390,0.28749901,0.18347552
cdc-d,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.91050846,0.31545298,0.20228453,0.90889462,0.31549275,0.20270824
spam,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.96651877,0.22547327,0.08572634,0.95193923,0.22529473,0.10970964
sp-hrt,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.98406648,0.32203769,0.38299818,0.87733290,0.34515670,0.23369762
bench,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.99743941,0.00000000,0.03767344,0.80985714,0.00000000,0.10515365
gamma,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.95228298,0.00000000,0.58412790,0.87634069,0.00000000,0.35504594
brst-w,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.99738319,0.00000000,0.23159796,0.95676692,0.00000000,0.28609337
parkns,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.99954481,0.00000000,0.03720748,0.90252632,0.00000000,0.13679704
blood,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.82159907,0.00000000,0.36356715,0.78744865,0.00000000,0.21061236
car,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.99831526,0.00000000,0.86187221,0.98379621,0.00000000,0.78634777
vertebr,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.98301075,0.00000000,0.29687472,0.82516129,0.00000000,0.27743486
bank,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.99991903,0.00000000,0.49212733,0.99009521,0.00000000,0.39552011
diabet,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.91999135,0.00000000,0.29181090,0.68549925,0.00000000,0.15584396
htru,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.98474318,0.00000000,0.56170077,0.97993086,0.00000000,0.19195421
haber,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.77661133,0.00000000,0.35246302,0.75212903,0.00000000,0.19895159
brst-c,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.91531868,0.00000000,0.06105473,0.75863636,0.00000000,0.01179340
heart-f,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.94218009,0.00000000,0.88421522,0.83480460,0.00000000,0.10155550
iono,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.97442274,0.00000000,0.81957607,0.91517460,0.00000000,0.22799075
cerv-c,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.98827404,0.00000000,0.09378881,0.86642857,0.00000000,0.08456064
rice,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.93613882,0.00000000,0.62205894,0.92740157,0.00000000,0.26952981
churn,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.98722399,0.00000000,0.66635176,0.95555556,0.00000000,0.50211888
taiwan,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.99978491,0.00000000,0.60084794,0.97078748,0.00000000,0.30265366
letter,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.99810444,0.00000000,0.73116003,0.95669000,0.00000000,0.70846518
drybean,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.95794742,0.00000000,0.77492370,0.92576619,0.00000000,0.60613640
droid,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.97982333,0.00000000,0.59242279,0.96924185,0.00000000,0.49555966
page,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.99110381,0.00000000,0.70332822,0.97197334,0.00000000,0.41033866
sepsis,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.92632838,0.00000000,0.08906570,0.92632838,0.00000000,0.07922083
raisin,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.91530864,0.00000000,0.79512702,0.86822222,0.00000000,0.27998758
matern,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.91569143,0.00000000,0.39918720,0.85499709,0.00000000,0.34029431
survey,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.87348571,0.00000000,0.93174936,0.84284875,0.00000000,0.16579940
aids,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.93865250,0.00000000,0.84728139,0.89013909,0.00000000,0.19454695
cdc-d,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.86968298,0.00000000,0.41009107,0.86669190,0.00000000,0.24474504
spam,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.99029678,0.00000000,0.44691509,0.94748977,0.00000000,0.31324085
sp-hrt,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.97353423,0.00000000,0.90943319,0.80210826,0.00000000,0.28660198
bench,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99593097,0.35190750,0.03948869,0.83391209,0.32180952,0.11647045
gamma,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.97221708,0.19490478,0.46339027,0.90983891,0.19950578,0.27086784
brst-w,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99949484,0.07232837,0.21608723,0.96600618,0.07835213,0.27059494
parkns,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99946274,0.14950909,0.03535540,0.92193721,0.16068421,0.16957907
blood,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.88437425,0.23250136,0.31400331,0.83780394,0.24174054,0.15485649
car,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99828371,0.02042177,0.80376317,0.98692987,0.02708429,0.71638182
vertebr,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99763590,0.23985663,0.25308666,0.89776986,0.23354839,0.31528034
bank,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99991818,0.00928093,0.48063175,0.99052637,0.01646779,0.36826585
diabet,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.89779270,0.45832602,0.20913453,0.72779805,0.40344528,0.10821541
