dataset,algorithm,hybrid_accuracy_train,hybrid_glass_train,hybrid_black_train,hybrid_reject_train,hybrid_kappa_train,hybrid_accuracy_test,hybrid_glass_test,hybrid_black_test,hybrid_reject_test,hybrid_kappa_test
17,3x5_Dynamic_Binary_Deep,0.99773476,0.78176101,0.21823899,0.00000000,0.19429398,0.95676065,0.74057644,0.25942356,0.00000000,0.25008497
174,3x5_Dynamic_Binary_Deep,0.99954416,0.43988506,0.56011494,0.00000000,0.02328803,0.91073684,0.44878947,0.55121053,0.00000000,0.14968200
176,3x5_Dynamic_Binary_Deep,0.82061843,0.69497502,0.30502498,0.00000000,0.31918278,0.78529369,0.68795315,0.31204685,0.00000000,0.21471382
19,3x5_Dynamic_Binary_Deep,0.99904838,0.80066751,0.19933249,0.00000000,0.82707195,0.98622059,0.79491666,0.20508334,0.00000000,0.76634537
212,3x5_Dynamic_Binary_Deep,0.98458781,0.54293907,0.45706093,0.00000000,0.22550677,0.82645161,0.52774194,0.47225806,0.00000000,0.28912354
267,3x5_Dynamic_Binary_Deep,0.99998379,0.86010419,0.13989581,0.00000000,0.37637356,0.99110864,0.83443034,0.16556966,0.00000000,0.33536826
329,3x5_Dynamic_Binary_Deep,0.93854630,0.30031905,0.69968095,0.00000000,0.23206626,0.68776612,0.31939280,0.68060720,0.00000000,0.11255000
43,3x5_Dynamic_Binary_Deep,0.77516337,0.62148617,0.37851383,0.00000000,0.24432001,0.75154839,0.61098925,0.38901075,0.00000000,0.24167285
451,3x5_Dynamic_Binary_Deep,0.91532234,0.20483333,0.79516667,0.00000000,0.03785827,0.77515152,0.25454545,0.74545455,0.00000000,0.04210233
519,3x5_Dynamic_Binary_Deep,0.94351508,0.82229547,0.17770453,0.00000000,0.89629127,0.83540230,0.77949425,0.22050575,0.00000000,0.09262120
52,3x5_Dynamic_Binary_Deep,0.97530882,0.86300261,0.13699739,0.00000000,0.76593647,0.91741270,0.81242857,0.18757143,0.00000000,0.22993222
537,3x5_Dynamic_Binary_Deep,0.98982692,0.46568750,0.53431250,0.00000000,0.05466478,0.86107143,0.42714286,0.57285714,0.00000000,0.03773002
545,3x5_Dynamic_Binary_Deep,0.93594051,0.85568971,0.14431029,0.00000000,0.61761212,0.92766404,0.80020997,0.19979003,0.00000000,0.27136257
563,3x5_Dynamic_Binary_Deep,0.98699824,0.85283245,0.14716755,0.00000000,0.60621305,0.95561905,0.84584127,0.15415873,0.00000000,0.48036024
850,3x5_Dynamic_Binary_Deep,0.91508642,0.80950617,0.19049383,0.00000000,0.78135068,0.86733333,0.74022222,0.25977778,0.00000000,0.31063051
863,3x5_Dynamic_Binary_Deep,0.92134459,0.40753994,0.59246006,0.00000000,0.36919042,0.86389245,0.38755970,0.61244030,0.00000000,0.33079525
887,3x5_Dynamic_Binary_Deep,0.87293940,0.83082611,0.16917389,0.00000000,0.93174936,0.84381366,0.78674666,0.21325334,0.00000000,0.16579940
