dataset,algorithm,hybrid_accuracy_train,hybrid_glass_train,hybrid_black_train,hybrid_reject_train,hybrid_kappa_train,hybrid_accuracy_test,hybrid_glass_test,hybrid_black_test,hybrid_reject_test,hybrid_kappa_test
451,5x5_Static_Ternary_Deep,0.98449480,0.36265201,0.23214652,0.40520147,0.08875744,0.77737302,0.33727273,0.27242424,0.39030303,0.02198853
519,5x5_Static_Ternary_Deep,0.99697517,0.82824315,0.02772270,0.14403415,0.81324859,0.84882420,0.75128736,0.02940230,0.21931034,0.06906459
52,5x5_Static_Ternary_Deep,0.99992958,0.86736649,0.04849427,0.08413924,0.73618456,0.91900211,0.76679365,0.07531746,0.15788889,0.13885297
537,5x5_Static_Ternary_Deep,0.99709537,0.59507212,0.20767308,0.19725481,0.10424232,0.85028571,0.53107143,0.28071429,0.18821429,0.06838090
545,5x5_Static_Ternary_Deep,0.99931657,0.88215223,0.00683581,0.11101196,0.71325660,0.95980816,0.81343832,0.00624672,0.18031496,0.23371440
563,5x5_Static_Ternary_Deep,0.99721186,0.87173192,0.06428219,0.06398589,0.57053721,0.96953254,0.85257143,0.06926984,0.07815873,0.40729883
850,5x5_Static_Ternary_Deep,0.99903105,0.82049383,0.02296296,0.15654321,0.77439823,0.90076848,0.74444444,0.04622222,0.20933333,0.21373563
863,5x5_Static_Ternary_Deep,0.95528082,0.50048282,0.28132790,0.21818929,0.40361623,0.89401705,0.46351194,0.25008542,0.28640264,0.29347692
887,5x5_Static_Ternary_Deep,0.99138442,0.83117742,0.00808712,0.16073545,0.88780630,0.86451371,0.79578522,0.00886622,0.19534856,0.11199291
891,5x5_Static_Ternary_Deep,0.94667843,0.67193314,0.04985143,0.27821542,0.35310692,0.90527637,0.64959792,0.05247950,0.29792258,0.18729031
94,5x5_Static_Ternary_Deep,0.99486930,0.78529297,0.12270765,0.09199938,0.38895623,0.95572985,0.73423569,0.14362030,0.12214402,0.21993136
96,5x5_Static_Ternary_Deep,0.99969124,0.76987932,0.04043811,0.18968257,0.75585206,0.85020284,0.73404558,0.05484330,0.21111111,0.22031119
