dataset,algorithm,hybrid_accuracy_train,hybrid_glass_train,hybrid_black_train,hybrid_reject_train,hybrid_kappa_train,hybrid_accuracy_test,hybrid_glass_test,hybrid_black_test,hybrid_reject_test,hybrid_kappa_test
174,1x5_Dynamic_Binary_Deep,0.99931688,0.52752013,0.47247987,0.00000000,0.03271867,0.91073684,0.52594737,0.47405263,0.00000000,0.16025331
176,1x5_Dynamic_Binary_Deep,0.82088575,0.69765067,0.30234933,0.00000000,0.35441260,0.78611171,0.67723964,0.32276036,0.00000000,0.20294461
19,1x5_Dynamic_Binary_Deep,0.99873986,0.81508439,0.18491561,0.00000000,0.86937269,0.98320876,0.81007192,0.18992808,0.00000000,0.78688905
212,1x5_Dynamic_Binary_Deep,0.98329749,0.58716846,0.41283154,0.00000000,0.26573120,0.82516129,0.57483871,0.42516129,0.00000000,0.29481808
267,1x5_Dynamic_Binary_Deep,0.99996761,0.89410356,0.10589644,0.00000000,0.47695239,0.98892309,0.87115942,0.12884058,0.00000000,0.39229250
329,1x5_Dynamic_Binary_Deep,0.91952638,0.38832281,0.61167719,0.00000000,0.26859560,0.68532234,0.40832834,0.59167166,0.00000000,0.14764077
372,1x5_Dynamic_Binary_Deep,0.98474069,0.95269984,0.04730016,0.00000000,0.56148694,0.97995320,0.91382270,0.08617730,0.00000000,0.18439140
43,1x5_Dynamic_Binary_Deep,0.77690198,0.64405455,0.35594545,0.00000000,0.32970184,0.75088172,0.64716129,0.35283871,0.00000000,0.19879621
451,1x5_Dynamic_Binary_Deep,0.91627656,0.28941026,0.71058974,0.00000000,0.05839103,0.77242424,0.31242424,0.68757576,0.00000000,0.03093006
519,1x5_Dynamic_Binary_Deep,0.94351590,0.82430291,0.17569709,0.00000000,0.89940687,0.83140230,0.77149425,0.22850575,0.00000000,0.08539484
52,1x5_Dynamic_Binary_Deep,0.97454933,0.87180008,0.12819992,0.00000000,0.79735877,0.91630159,0.81700000,0.18300000,0.00000000,0.22179117
537,1x5_Dynamic_Binary_Deep,0.98826442,0.57108173,0.42891827,0.00000000,0.07708744,0.85214286,0.53035714,0.46964286,0.00000000,0.05890685
545,1x5_Dynamic_Binary_Deep,0.93603383,0.85498396,0.14501604,0.00000000,0.61384736,0.92755906,0.80309711,0.19690289,0.00000000,0.26960353
563,1x5_Dynamic_Binary_Deep,0.98713933,0.86661728,0.13338272,0.00000000,0.65553062,0.95555556,0.85898413,0.14101587,0.00000000,0.50326491
572,1x5_Dynamic_Binary_Deep,0.99974581,0.93805217,0.06194783,0.00000000,0.59882967,0.97093415,0.91591127,0.08408873,0.00000000,0.30889629
59,1x5_Dynamic_Binary_Deep,0.99794556,0.16741111,0.83258889,0.00000000,0.72294614,0.95665000,0.16870000,0.83130000,0.00000000,0.70000405
602,1x5_Dynamic_Binary_Deep,0.95766659,0.75696458,0.24303542,0.00000000,0.76160573,0.92667727,0.73198107,0.26801893,0.00000000,0.60618314
722,1x5_Dynamic_Binary_Deep,0.97975665,0.88138779,0.11861221,0.00000000,0.59083902,0.96913959,0.87785374,0.12214626,0.00000000,0.49390429
78,1x5_Dynamic_Binary_Deep,0.99108757,0.94695983,0.05304017,0.00000000,0.68846089,0.97306936,0.92519776,0.07480224,0.00000000,0.40807108
827,1x5_Dynamic_Binary_Deep,0.92632838,0.51500107,0.48499893,0.00000000,0.08910392,0.92632838,0.51515938,0.48484062,0.00000000,0.07900715
850,1x5_Dynamic_Binary_Deep,0.91518519,0.81681481,0.18318519,0.00000000,0.80531430,0.86600000,0.75022222,0.24977778,0.00000000,0.28100940
863,1x5_Dynamic_Binary_Deep,0.91742266,0.43261032,0.56738968,0.00000000,0.38543241,0.86013007,0.41797127,0.58202873,0.00000000,0.34331297
887,1x5_Dynamic_Binary_Deep,0.87348571,0.83082611,0.16917389,0.00000000,0.93174936,0.84284875,0.78674666,0.21325334,0.00000000,0.16579940
890,1x5_Dynamic_Binary_Deep,0.93838239,0.86228248,0.13771752,0.00000000,0.83936109,0.89238208,0.84067965,0.15932035,0.00000000,0.18253132
891,1x5_Dynamic_Binary_Deep,0.86960291,0.70327674,0.29672326,0.00000000,0.41043166,0.86667376,0.68055030,0.31944970,0.00000000,0.24426813
94,1x5_Dynamic_Binary_Deep,0.98907482,0.76849937,0.23150063,0.00000000,0.42768922,0.94735943,0.74388447,0.25611553,0.00000000,0.30518497
96,1x5_Dynamic_Binary_Deep,0.97378285,0.76380221,0.23619779,0.00000000,0.91094290,0.79757835,0.72575499,0.27424501,0.00000000,0.27754411
151,1x5_Dynamic_Double_AR_Deep,0.99876067,0.23279952,0.37501820,0.39218227,0.03588317,0.85241653,0.21261905,0.35752381,0.42985714,0.08615685
159,1x5_Dynamic_Double_AR_Deep,0.99173225,0.57521206,0.09037972,0.33440823,0.30828288,0.93761637,0.51754995,0.11257624,0.36987382,0.21157920
17,1x5_Dynamic_Double_AR_Deep,0.99995789,0.79871360,0.11708295,0.08420344,0.19668890,0.96965373,0.74093985,0.14130952,0.11775063,0.26758966
174,1x5_Dynamic_Double_AR_Deep,0.99960000,0.51737338,0.31760260,0.16502403,0.03301882,0.93422479,0.49115789,0.31500000,0.19384211,0.18822987
176,1x5_Dynamic_Double_AR_Deep,0.90509013,0.64004696,0.06604265,0.29391039,0.33467819,0.84392889,0.60927207,0.07514955,0.31557838,0.15053616
19,1x5_Dynamic_Double_AR_Deep,0.99899191,0.80358761,0.16410815,0.03230424,0.71011335,0.98884483,0.79362952,0.16249294,0.04387754,0.63556002
212,1x5_Dynamic_Double_AR_Deep,0.99921408,0.57125448,0.16301075,0.26573477,0.22381243,0.91636432,0.51935484,0.17290323,0.30774194,0.30229131
267,1x5_Dynamic_Double_AR_Deep,0.99996701,0.89070214,0.09512524,0.01417261,0.42539450,0.99288955,0.84943933,0.10945943,0.04110124,0.30554967
329,1x5_Dynamic_Double_AR_Deep,0.98933261,0.19725871,0.13501186,0.66772943,0.14112089,0.76865614,0.19097001,0.16595502,0.64307496,0.08008346
372,1x5_Dynamic_Double_AR_Deep,0.99997141,0.94132802,0.01389233,0.04477965,0.50170365,0.98973696,0.87756134,0.04088725,0.08155142,0.16008956
43,1x5_Dynamic_Double_AR_Deep,0.91421604,0.58050935,0.11031831,0.30917233,0.38043581,0.80014251,0.56086022,0.11374194,0.32539785,0.12573484
451,1x5_Dynamic_Double_AR_Deep,0.97801308,0.21891941,0.24513736,0.53594322,0.05085451,0.75356349,0.16803030,0.28287879,0.54909091,-0.04347176
519,1x5_Dynamic_Double_AR_Deep,0.99722164,0.72314581,0.03151315,0.24534104,0.51633711,0.87036536,0.59749425,0.11689655,0.28560920,0.11008727
52,1x5_Dynamic_Double_AR_Deep,0.99992565,0.81868455,0.04317581,0.13813964,0.50773006,0.93941801,0.68480952,0.11173016,0.20346032,0.19651796
537,1x5_Dynamic_Double_AR_Deep,0.99840207,0.52901923,0.24562019,0.22536058,0.08779028,0.86695238,0.45928571,0.31071429,0.23000000,0.04183558
